# N: 146 Ncc: 19 M: 127
# the graph is acyclic
S 124 47 125
S 137 48 60
S 126 49 41
S 1 50 29
S 101 51 23
S 185 52 20
S 161 53 19
S 43 54 17
S 155 55 14
S 34 56 13
S 71 57 11
S 96 58 10
S 187 59 10
S 120 60 9
S 165 61 9
S 159 62 8
S 119 63 8
S 110 64 7
S 23 65 6
S 44 66 6
S 79 67 5
S 139 68 5
S 51 69 5
S 95 70 5
S 180 71 5
S 56 72 5
S 151 73 5
S 63 74 4
S 105 75 4
S 148 76 4
S 127 77 4
S 183 78 4
S 179 79 4
S 17 80 3
S 84 81 3
S 32 82 3
S 53 83 3
S 85 84 3
S 111 85 3
S 121 86 3
S 133 87 3
S 131 88 3
S 177 89 3
S 188 90 3
S 4 91 2
S 7 92 2
S 8 93 2
S 13 94 2
S 14 95 2
S 16 96 2
S 29 97 2
S 36 98 2
S 50 99 2
S 59 100 2
S 73 101 2
S 76 102 2
S 86 103 2
S 92 104 2
S 117 105 2
S 122 106 2
S 128 107 2
S 135 108 2
S 145 109 2
S 153 110 2
S 160 111 2
S 170 112 2
S 181 113 2
